"functional_classification","t_volume","t_sample_count","t_volume_corrected","state","start_time"
"Interstate","6363","4416","6363","CA","2012-02-01"
"Major Collector","0","5160","0","CA","2012-02-01"
"Minor Arterial","8813","8736","8813","CA","2012-02-01"
"Minor Collector","15194","4032","15194","CA","2012-02-01"
"Trail or Shared Use Path","1727","10672","1727","CA","2012-02-01"
"Interstate","9703","5936","9152","CA","2012-03-01"
"Major Collector","4375","9192","4375","CA","2012-03-01"
"Minor Arterial","16644","18096","15968","CA","2012-03-01"
"Minor Collector","23708","5936","22429","CA","2012-03-01"
"Trail or Shared Use Path","8387","14936","7990","CA","2012-03-01"
"Interstate","11023","5760","11023","CA","2012-04-01"
"Major Collector","12094","11520","12094","CA","2012-04-01"
"Minor Arterial","19819","22648","19819","CA","2012-04-01"
"Minor Collector","23876","5760","23876","CA","2012-04-01"
"Trail or Shared Use Path","11593","17280","11593","CA","2012-04-01"
"Interstate","13019","5952","13019","CA","2012-05-01"
"Major Collector","14280","11904","14280","CA","2012-05-01"
"Minor Arterial","24645","32536","24645","CA","2012-05-01"
"Minor Collector","27906","5952","27906","CA","2012-05-01"
"Trail or Shared Use Path","13003","17856","13003","CA","2012-05-01"
"Interstate","13785","5760","13785","CA","2012-06-01"
"Major Collector","16342","11520","16342","CA","2012-06-01"
"Minor Arterial","25598","31680","25598","CA","2012-06-01"
"Minor Collector","28865","5760","28865","CA","2012-06-01"
"Trail or Shared Use Path","14500","17280","14500","CA","2012-06-01"
"Interstate","16497","5952","16497","CA","2012-07-01"
"Major Collector","19594","11904","19594","CA","2012-07-01"
"Minor Arterial","29563","32736","29563","CA","2012-07-01"
"Minor Collector","16969","5952","16969","CA","2012-07-01"
"Trail or Shared Use Path","15921","17856","15921","CA","2012-07-01"
"Interstate","17847","5952","17847","CA","2012-08-01"
"Major Collector","44589","16120","44589","CA","2012-08-01"
"Minor Arterial","28342","32735","28342","CA","2012-08-01"
"Minor Collector","0","5952","0","CA","2012-08-01"
"Trail or Shared Use Path","10200","15606","10200","CA","2012-08-01"
"Interstate","15197","5760","15197","CA","2012-09-01"
"Major Collector","58948","23214","58948","CA","2012-09-01"
"Minor Arterial","31730","35115","31730","CA","2012-09-01"
"Minor Collector","0","5760","0","CA","2012-09-01"
"Principal Arterial - Other","13760","10434","13760","CA","2012-09-01"
"Trail or Shared Use Path","10885","15346","10885","CA","2012-09-01"
"Interstate","11797","5952","11797","CA","2012-10-01"
"Major Collector","47914","29758","47914","CA","2012-10-01"
"Minor Arterial","35837","44639","35837","CA","2012-10-01"
"Minor Collector","0","5952","0","CA","2012-10-01"
"Principal Arterial - Other","29226","20830","29226","CA","2012-10-01"
"Trail or Shared Use Path","24388","23362","24388","CA","2012-10-01"
"Interstate","10444","5752","10444","CA","2012-11-01"
"Major Collector","42258","28744","42258","CA","2012-11-01"
"Minor Arterial","30880","43123","30880","CA","2012-11-01"
"Minor Collector","0","5752","0","CA","2012-11-01"
"Principal Arterial - Other","25804","20123","25804","CA","2012-11-01"
"Trail or Shared Use Path","20897","23008","20897","CA","2012-11-01"
"Interstate","8301","5952","8301","CA","2012-12-01"
"Major Collector","31283","29758","31283","CA","2012-12-01"
"Minor Arterial","25225","44629","25225","CA","2012-12-01"
"Minor Collector","0","5950","0","CA","2012-12-01"
"Principal Arterial - Other","20198","20830","20198","CA","2012-12-01"
"Trail or Shared Use Path","18367","23806","18367","CA","2012-12-01"
"Interstate","9534","5948","9534","CA","2013-01-01"
"Major Collector","34174","29760","34174","CA","2013-01-01"
"Minor Arterial","26173","44624","26173","CA","2013-01-01"
"Minor Collector","0","5952","0","CA","2013-01-01"
"Principal Arterial - Other","23227","20823","23227","CA","2013-01-01"
"Trail or Shared Use Path","19948","23796","19948","CA","2013-01-01"
"Interstate","10187","5376","10187","CA","2013-02-01"
"Major Collector","35876","26880","35876","CA","2013-02-01"
"Minor Arterial","27131","40320","27131","CA","2013-02-01"
"Minor Collector","0","5376","0","CA","2013-02-01"
"Principal Arterial - Other","23359","18816","23359","CA","2013-02-01"
"Trail or Shared Use Path","19173","21504","19173","CA","2013-02-01"
"Interstate","12882","5944","12135","CA","2013-03-01"
"Major Collector","50605","29718","47830","CA","2013-03-01"
"Minor Arterial","33672","44580","32080","CA","2013-03-01"
"Minor Collector","0","5944","0","CA","2013-03-01"
"Principal Arterial - Other","29190","20804","27880","CA","2013-03-01"
"Trail or Shared Use Path","25745","23776","24528","CA","2013-03-01"
"Interstate","12664","5760","12664","CA","2013-04-01"
"Major Collector","35244","28800","35244","CA","2013-04-01"
"Minor Arterial","32445","43200","32445","CA","2013-04-01"
"Minor Collector","0","5760","0","CA","2013-04-01"
"Principal Arterial - Other","28351","20160","28351","CA","2013-04-01"
"Trail or Shared Use Path","25842","23040","25842","CA","2013-04-01"
"Interstate","13606","5952","13606","CA","2013-05-01"
"Major Collector","38972","29760","38972","CA","2013-05-01"
"Minor Arterial","33790","44640","33790","CA","2013-05-01"
"Minor Collector","0","5952","0","CA","2013-05-01"
"Principal Arterial - Other","31566","20832","31566","CA","2013-05-01"
"Trail or Shared Use Path","28710","23808","28710","CA","2013-05-01"
"Interstate","16557","5760","16557","CA","2013-06-01"
"Major Collector","44432","28800","44432","CA","2013-06-01"
"Minor Arterial","35999","43200","35999","CA","2013-06-01"
"Minor Collector","0","5760","0","CA","2013-06-01"
"Principal Arterial - Other","33901","20160","33901","CA","2013-06-01"
"Trail or Shared Use Path","31297","23040","31297","CA","2013-06-01"
"Interstate","17294","5952","17294","CA","2013-07-01"
"Major Collector","59422","29760","59422","CA","2013-07-01"
"Minor Arterial","38071","44640","38071","CA","2013-07-01"
"Minor Collector","0","5952","0","CA","2013-07-01"
"Principal Arterial - Other","40821","20832","40821","CA","2013-07-01"
"Trail or Shared Use Path","31229","23808","31229","CA","2013-07-01"
"Interstate","19354","5952","19354","CA","2013-08-01"
"Major Collector","49354","29760","49354","CA","2013-08-01"
"Minor Arterial","36418","44640","36418","CA","2013-08-01"
"Minor Collector","0","5952","0","CA","2013-08-01"
"Principal Arterial - Other","39505","20832","39505","CA","2013-08-01"
"Trail or Shared Use Path","14003","23808","14003","CA","2013-08-01"
"Interstate","14868","5760","14868","CA","2013-09-01"
"Major Collector","38475","28800","38475","CA","2013-09-01"
"Minor Arterial","34692","43200","34692","CA","2013-09-01"
"Minor Collector","0","5760","0","CA","2013-09-01"
"Principal Arterial - Other","34544","20160","34544","CA","2013-09-01"
"Trail or Shared Use Path","12544","23040","12544","CA","2013-09-01"
"Interstate","12750","5952","12750","CA","2013-10-01"
"Major Collector","14383","29760","14383","CA","2013-10-01"
"Minor Arterial","32375","44640","32375","CA","2013-10-01"
"Minor Collector","0","5952","0","CA","2013-10-01"
"Principal Arterial - Other","28639","20832","28639","CA","2013-10-01"
"Trail or Shared Use Path","11001","23808","11001","CA","2013-10-01"
"Interstate","11605","5752","11605","CA","2013-11-01"
"Major Collector","4377","28760","4377","CA","2013-11-01"
"Minor Arterial","37017","54272","37017","CA","2013-11-01"
"Minor Collector","7038","5752","7038","CA","2013-11-01"
"Principal Arterial - Other","29138","24928","29138","CA","2013-11-01"
"Trail or Shared Use Path","22113","23008","22113","CA","2013-11-01"
"Interstate","10025","5952","10025","CA","2013-12-01"
"Major Collector","468","29760","468","CA","2013-12-01"
"Minor Arterial","37275","62496","37275","CA","2013-12-01"
"Minor Collector","12527","5952","12527","CA","2013-12-01"
"Principal Arterial - Other","26772","29760","26772","CA","2013-12-01"
"Trail or Shared Use Path","27562","23808","27562","CA","2013-12-01"
"Interstate","13252","5952","13252","CA","2014-01-01"
"Major Collector","4469","29760","4469","CA","2014-01-01"
"Minor Arterial","52544","62496","52544","CA","2014-01-01"
"Minor Collector","8623","5952","8623","CA","2014-01-01"
"Principal Arterial - Other","37321","36384","37321","CA","2014-01-01"
"Trail or Shared Use Path","31376","18816","31376","CA","2014-01-01"
"Interstate","10226","5376","10226","CA","2014-02-01"
"Major Collector","14225","26880","14225","CA","2014-02-01"
"Minor Arterial","45211","56448","45211","CA","2014-02-01"
"Minor Collector","14437","5376","14437","CA","2014-02-01"
"Principal Arterial - Other","32241","34944","32241","CA","2014-02-01"
"Trail or Shared Use Path","19825","16128","19825","CA","2014-02-01"
"Interstate","11128","5936","10577","CA","2014-03-01"
"Major Collector","29624","29680","28651","CA","2014-03-01"
"Minor Arterial","50335","62332","48339","CA","2014-03-01"
"Minor Collector","20501","5936","19387","CA","2014-03-01"
"Principal Arterial - Other","40046","43756","38197","CA","2014-03-01"
"Trail or Shared Use Path","38001","22976","35595","CA","2014-03-01"
"Interstate","13218","5760","13218","CA","2014-04-01"
"Major Collector","56890","28800","56890","CA","2014-04-01"
"Minor Arterial","48079","59296","48079","CA","2014-04-01"
"Minor Collector","18895","5760","18895","CA","2014-04-01"
"Principal Arterial - Other","38070","42984","38070","CA","2014-04-01"
"Trail or Shared Use Path","35876","23040","35876","CA","2014-04-01"
"Interstate","14473","5952","14473","CA","2014-05-01"
"Major Collector","64713","29760","64713","CA","2014-05-01"
"Minor Arterial","50954","60388","50954","CA","2014-05-01"
"Minor Collector","23057","5952","23057","CA","2014-05-01"
"Principal Arterial - Other","44292","44640","44292","CA","2014-05-01"
"Trail or Shared Use Path","53944","26870","53944","CA","2014-05-01"
"Interstate","15390","5760","15390","CA","2014-06-01"
"Major Collector","72555","28800","72555","CA","2014-06-01"
"Minor Arterial","48712","57600","48712","CA","2014-06-01"
"Minor Collector","23335","5760","23335","CA","2014-06-01"
"Principal Arterial - Other","41583","43200","41583","CA","2014-06-01"
"Trail or Shared Use Path","72985","28800","72985","CA","2014-06-01"
"Interstate","16017","5952","16017","CA","2014-07-01"
"Major Collector","88584","29760","88584","CA","2014-07-01"
"Minor Arterial","55980","61808","55980","CA","2014-07-01"
"Minor Collector","26185","5952","26185","CA","2014-07-01"
"Principal Arterial - Other","47200","44640","47200","CA","2014-07-01"
"Trail or Shared Use Path","76837","29760","76837","CA","2014-07-01"
"Interstate","19308","5952","19308","CA","2014-08-01"
"Major Collector","78324","29760","78324","CA","2014-08-01"
"Minor Arterial","52496","62389","52496","CA","2014-08-01"
"Minor Collector","24949","5952","24949","CA","2014-08-01"
"Principal Arterial - Other","46379","44640","46379","CA","2014-08-01"
"Trail or Shared Use Path","78095","29760","78095","CA","2014-08-01"
"Interstate","13611","5760","13611","CA","2014-09-01"
"Major Collector","30911","27254","30911","CA","2014-09-01"
"Minor Arterial","52762","60479","52762","CA","2014-09-01"
"Minor Collector","23669","5760","23669","CA","2014-09-01"
"Principal Arterial - Other","40611","43199","40611","CA","2014-09-01"
"Trail or Shared Use Path","72377","28796","72377","CA","2014-09-01"
"Interstate","13074","5952","13074","CA","2014-10-01"
"Major Collector","20705","25910","20705","CA","2014-10-01"
"Minor Arterial","54485","62494","54485","CA","2014-10-01"
"Minor Collector","22900","5952","22900","CA","2014-10-01"
"Principal Arterial - Other","38956","44417","38956","CA","2014-10-01"
"Trail or Shared Use Path","65419","29758","65419","CA","2014-10-01"
"Interstate","11637","5752","11637","CA","2014-11-01"
"Major Collector","45921","25104","45921","CA","2014-11-01"
"Minor Arterial","48823","60392","48823","CA","2014-11-01"
"Minor Collector","22421","5752","22421","CA","2014-11-01"
"Principal Arterial - Other","36164","43136","36164","CA","2014-11-01"
"Trail or Shared Use Path","59225","28756","59225","CA","2014-11-01"
"Interstate","9118","5952","9118","CA","2014-12-01"
"Major Collector","33978","29756","33978","CA","2014-12-01"
"Minor Arterial","39060","62462","39060","CA","2014-12-01"
"Minor Collector","16473","5952","16473","CA","2014-12-01"
"Principal Arterial - Other","26562","44640","26562","CA","2014-12-01"
"Trail or Shared Use Path","48428","29754","48428","CA","2014-12-01"
"Interstate","11658","5952","11658","CA","2015-01-01"
"Major Collector","43596","29760","43596","CA","2015-01-01"
"Minor Arterial","49293","62496","49293","CA","2015-01-01"
"Minor Collector","19933","5952","19933","CA","2015-01-01"
"Principal Arterial - Other","33893","44640","33893","CA","2015-01-01"
"Trail or Shared Use Path","58657","29304","58657","CA","2015-01-01"
"Interstate","11355","5376","11355","CA","2015-02-01"
"Major Collector","43414","26880","43414","CA","2015-02-01"
"Minor Arterial","45091","56448","45091","CA","2015-02-01"
"Minor Collector","17919","5376","17919","CA","2015-02-01"
"Principal Arterial - Other","28445","40320","28445","CA","2015-02-01"
"Principal Arterial - Other Freeways and Expressways","3158","1728","3158","CA","2015-02-01"
"Trail or Shared Use Path","62427","30264","62427","CA","2015-02-01"
"Interstate","13084","5936","12389","CA","2015-03-01"
"Major Collector","54746","29680","51959","CA","2015-03-01"
"Minor Arterial","49735","62332","47774","CA","2015-03-01"
"Minor Collector","20995","5936","19908","CA","2015-03-01"
"Principal Arterial - Other","39972","44523","38087","CA","2015-03-01"
"Principal Arterial - Other Freeways and Expressways","13897","5936","13182","CA","2015-03-01"
"Trail or Shared Use Path","79614","35616","75656","CA","2015-03-01"
"Interstate","12635","5760","12635","CA","2015-04-01"
"Major Collector","52890","28800","52890","CA","2015-04-01"
"Minor Arterial","47517","59716","47517","CA","2015-04-01"
"Minor Collector","20654","5760","20654","CA","2015-04-01"
"Principal Arterial - Other","38951","43200","38951","CA","2015-04-01"
"Principal Arterial - Other Freeways and Expressways","13942","5760","13942","CA","2015-04-01"
"Trail or Shared Use Path","75786","34560","75786","CA","2015-04-01"
"Interstate","12612","5952","12612","CA","2015-05-01"
"Major Collector","47481","29760","47481","CA","2015-05-01"
"Minor Arterial","45811","59520","45811","CA","2015-05-01"
"Minor Collector","21284","5952","21284","CA","2015-05-01"
"Principal Arterial - Other","37229","44640","37229","CA","2015-05-01"
"Principal Arterial - Other Freeways and Expressways","14302","5952","14302","CA","2015-05-01"
"Trail or Shared Use Path","72903","35712","72903","CA","2015-05-01"
"Interstate","14045","5760","14045","CA","2015-06-01"
"Major Collector","56193","28800","56193","CA","2015-06-01"
"Minor Arterial","47879","57600","47879","CA","2015-06-01"
"Minor Collector","21993","5760","21993","CA","2015-06-01"
"Principal Arterial - Other","40531","43200","40531","CA","2015-06-01"
"Principal Arterial - Other Freeways and Expressways","14157","5760","14157","CA","2015-06-01"
"Trail or Shared Use Path","81333","34560","81333","CA","2015-06-01"
"Interstate","15340","5952","15340","CA","2015-07-01"
"Major Collector","73575","29760","73575","CA","2015-07-01"
"Minor Arterial","53932","59520","53932","CA","2015-07-01"
"Minor Collector","23821","5952","23821","CA","2015-07-01"
"Principal Arterial - Other","47134","44640","47134","CA","2015-07-01"
"Principal Arterial - Other Freeways and Expressways","15106","5952","15106","CA","2015-07-01"
"Trail or Shared Use Path","88866","35712","88866","CA","2015-07-01"
"Interstate","3746","1344","3746","CA","2015-08-01"
"Major Collector","67830","29760","67830","CA","2015-08-01"
"Minor Arterial","60502","58880","60502","CA","2015-08-01"
"Minor Collector","26664","5952","26664","CA","2015-08-01"
"Principal Arterial - Other","46477","44640","46477","CA","2015-08-01"
"Principal Arterial - Other Freeways and Expressways","16044","5952","16044","CA","2015-08-01"
"Trail or Shared Use Path","81593","35712","81593","CA","2015-08-01"
"Interstate","13510","5760","13510","CA","2015-09-01"
"Major Collector","54675","28800","54675","CA","2015-09-01"
"Minor Arterial","44161","50431","44161","CA","2015-09-01"
"Minor Collector","22621","5760","22621","CA","2015-09-01"
"Principal Arterial - Other","40131","43200","40131","CA","2015-09-01"
"Principal Arterial - Other Freeways and Expressways","13502","5760","13502","CA","2015-09-01"
"Trail or Shared Use Path","68196","34560","68196","CA","2015-09-01"
"Interstate","12141","5952","12141","CA","2015-10-01"
"Major Collector","61120","29760","61120","CA","2015-10-01"
"Minor Arterial","42615","51434","42615","CA","2015-10-01"
"Minor Collector","23003","5952","23003","CA","2015-10-01"
"Principal Arterial - Other","36554","44640","36554","CA","2015-10-01"
"Principal Arterial - Other Freeways and Expressways","12435","5952","12435","CA","2015-10-01"
"Trail or Shared Use Path","63667","31496","63667","CA","2015-10-01"
"Interstate","10223","5752","10223","CA","2015-11-01"
"Major Collector","38213","28760","38213","CA","2015-11-01"
"Minor Arterial","38381","58264","38381","CA","2015-11-01"
"Minor Collector","18295","5752","18295","CA","2015-11-01"
"Principal Arterial - Other","31183","43136","31183","CA","2015-11-01"
"Principal Arterial - Other Freeways and Expressways","11916","5752","11916","CA","2015-11-01"
"Trail or Shared Use Path","52614","28760","52614","CA","2015-11-01"
"Interstate","7289","5952","7289","CA","2015-12-01"
"Major Collector","34488","29760","34488","CA","2015-12-01"
"Minor Arterial","33863","59520","33863","CA","2015-12-01"
"Minor Collector","16308","5952","16308","CA","2015-12-01"
"Principal Arterial - Other","16428","44299","16428","CA","2015-12-01"
"Principal Arterial - Other Freeways and Expressways","9572","5952","9572","CA","2015-12-01"
"Trail or Shared Use Path","44627","30896","44627","CA","2015-12-01"
"Interstate","5949","5952","5949","CA","2016-01-01"
"Major Collector","35595","29760","35595","CA","2016-01-01"
"Minor Arterial","38835","59520","38835","CA","2016-01-01"
"Minor Collector","17537","5952","17537","CA","2016-01-01"
"Principal Arterial - Other","11296","44640","11296","CA","2016-01-01"
"Principal Arterial - Other Freeways and Expressways","11197","5952","11197","CA","2016-01-01"
"Trail or Shared Use Path","48475","35010","48475","CA","2016-01-01"
"Interstate","0","5568","0","CA","2016-02-01"
"Major Collector","46659","27840","46659","CA","2016-02-01"
"Minor Arterial","41500","55680","41500","CA","2016-02-01"
"Minor Collector","5902","5568","5902","CA","2016-02-01"
"Principal Arterial - Other","19143","41760","19143","CA","2016-02-01"
"Principal Arterial - Other Freeways and Expressways","12413","5568","12413","CA","2016-02-01"
"Trail or Shared Use Path","54662","28224","54662","CA","2016-02-01"
"Interstate","0","5936","0","CA","2016-03-01"
"Major Collector","53463","29680","51151","CA","2016-03-01"
"Minor Arterial","37550","59364","36320","CA","2016-03-01"
"Minor Collector","0","5936","0","CA","2016-03-01"
"Principal Arterial - Other","14948","44524","14429","CA","2016-03-01"
"Principal Arterial - Other Freeways and Expressways","12650","5936","12026","CA","2016-03-01"
"Trail or Shared Use Path","52389","29672","49978","CA","2016-03-01"
"Interstate","0","5760","0","CA","2016-04-01"
"Major Collector","33552","28800","33552","CA","2016-04-01"
"Minor Arterial","32483","57244","32483","CA","2016-04-01"
"Minor Collector","0","5760","0","CA","2016-04-01"
"Principal Arterial - Other","15231","43200","15231","CA","2016-04-01"
"Principal Arterial - Other Freeways and Expressways","13072","5760","13072","CA","2016-04-01"
"Trail or Shared Use Path","52794","28800","52794","CA","2016-04-01"
"Interstate","0","5952","0","CA","2016-05-01"
"Major Collector","31745","29192","31745","CA","2016-05-01"
"Minor Arterial","31321","58084","31321","CA","2016-05-01"
"Minor Collector","0","5952","0","CA","2016-05-01"
"Principal Arterial - Other","15752","44640","15752","CA","2016-05-01"
"Principal Arterial - Other Freeways and Expressways","13967","5952","13967","CA","2016-05-01"
"Trail or Shared Use Path","60021","35584","60021","CA","2016-05-01"
"Interstate","0","5760","0","CA","2016-06-01"
"Major Collector","36463","23040","36463","CA","2016-06-01"
"Minor Arterial","32848","57102","32848","CA","2016-06-01"
"Minor Collector","0","5760","0","CA","2016-06-01"
"Principal Arterial - Other","10346","42980","10346","CA","2016-06-01"
"Principal Arterial - Other Freeways and Expressways","13578","5760","13578","CA","2016-06-01"
"Trail or Shared Use Path","63342","34560","63342","CA","2016-06-01"
"Interstate","0","5952","0","CA","2016-07-01"
"Major Collector","55828","22412","55828","CA","2016-07-01"
"Minor Arterial","33661","56918","33661","CA","2016-07-01"
"Minor Collector","0","5952","0","CA","2016-07-01"
"Principal Arterial - Other","9176","44640","9176","CA","2016-07-01"
"Principal Arterial - Other Freeways and Expressways","15578","5952","15578","CA","2016-07-01"
"Trail or Shared Use Path","56834","34760","56834","CA","2016-07-01"
"Interstate","0","2888","0","CA","2016-08-01"
"Major Collector","42695","20168","42695","CA","2016-08-01"
"Minor Arterial","30079","56544","30079","CA","2016-08-01"
"Minor Collector","0","5952","0","CA","2016-08-01"
"Principal Arterial - Other","8082","44253","8082","CA","2016-08-01"
"Principal Arterial - Other Freeways and Expressways","15468","5952","15468","CA","2016-08-01"
"Trail or Shared Use Path","54907","29760","54907","CA","2016-08-01"
"Major Collector","33925","17280","33925","CA","2016-09-01"
"Minor Arterial","27272","54652","27272","CA","2016-09-01"
"Minor Collector","0","5760","0","CA","2016-09-01"
"Principal Arterial - Other","3529","34588","3529","CA","2016-09-01"
"Principal Arterial - Other Freeways and Expressways","13356","5760","13356","CA","2016-09-01"
"Trail or Shared Use Path","44249","23240","44249","CA","2016-09-01"
"Major Collector","31924","18028","31924","CA","2016-10-01"
"Minor Arterial","31158","56544","31158","CA","2016-10-01"
"Minor Collector","0","5952","0","CA","2016-10-01"
"Principal Arterial - Other","3362","35284","3362","CA","2016-10-01"
"Principal Arterial - Other Freeways and Expressways","13231","5952","13231","CA","2016-10-01"
"Trail or Shared Use Path","32885","23808","32885","CA","2016-10-01"
"Major Collector","25555","14952","25555","CA","2016-11-01"
"Minor Arterial","24301","54352","24301","CA","2016-11-01"
"Minor Collector","0","5752","0","CA","2016-11-01"
"Principal Arterial - Other","2822","34512","2822","CA","2016-11-01"
"Principal Arterial - Other Freeways and Expressways","10819","5752","10819","CA","2016-11-01"
"Trail or Shared Use Path","253","23008","253","CA","2016-11-01"
"Major Collector","11287","13032","11287","CA","2016-12-01"
"Minor Arterial","19398","53404","19398","CA","2016-12-01"
"Minor Collector","7115","5952","7115","CA","2016-12-01"
"Principal Arterial - Other","2578","35712","2578","CA","2016-12-01"
"Principal Arterial - Other Freeways and Expressways","9225","5952","9225","CA","2016-12-01"
"Trail or Shared Use Path","12483","23808","12483","CA","2016-12-01"
"Major Collector","1319","11796","1319","CA","2017-01-01"
"Minor Arterial","20258","51508","20258","CA","2017-01-01"
"Minor Collector","13507","5844","13507","CA","2017-01-01"
"Principal Arterial - Other","2538","35414","2538","CA","2017-01-01"
"Principal Arterial - Other Freeways and Expressways","10679","5952","10679","CA","2017-01-01"
"Trail or Shared Use Path","13884","23808","13884","CA","2017-01-01"
"Major Collector","1372","10752","1372","CA","2017-02-01"
"Minor Arterial","22295","43776","22295","CA","2017-02-01"
"Minor Collector","12419","5376","12419","CA","2017-02-01"
"Principal Arterial - Other","2468","32256","2468","CA","2017-02-01"
"Principal Arterial - Other Freeways and Expressways","8844","5376","8844","CA","2017-02-01"
"Trail or Shared Use Path","9384","19008","9384","CA","2017-02-01"
"Major Collector","1823","11840","1756","CA","2017-03-01"
"Minor Arterial","25489","46768","24831","CA","2017-03-01"
"Minor Collector","16353","5904","15763","CA","2017-03-01"
"Principal Arterial - Other","1923","33272","1828","CA","2017-03-01"
"Principal Arterial - Other Freeways and Expressways","0","5904","0","CA","2017-03-01"
"Trail or Shared Use Path","0","11840","0","CA","2017-03-01"
"Major Collector","1902","11296","1902","CA","2017-04-01"
"Minor Arterial","27763","46394","27763","CA","2017-04-01"
"Minor Collector","18992","5532","18992","CA","2017-04-01"
"Principal Arterial - Other","1204","30672","1204","CA","2017-04-01"
"Principal Arterial - Other Freeways and Expressways","4","5346","4","CA","2017-04-01"
"Trail or Shared Use Path","0","11280","0","CA","2017-04-01"
"Major Collector","1361","10208","1361","CA","2017-05-01"
"Minor Arterial","17245","43062","17245","CA","2017-05-01"
"Minor Collector","16462","5712","16462","CA","2017-05-01"
"Principal Arterial - Other","1115","31656","1115","CA","2017-05-01"
"Principal Arterial - Other Freeways and Expressways","0","5712","0","CA","2017-05-01"
"Trail or Shared Use Path","0","11664","0","CA","2017-05-01"
"Major Collector","19943","5760","19943","CA","2017-06-01"
"Minor Arterial","15642","41652","15642","CA","2017-06-01"
"Minor Collector","5267","1848","5267","CA","2017-06-01"
"Principal Arterial - Other","3327","31400","3327","CA","2017-06-01"
"Principal Arterial - Other Freeways and Expressways","9484","5664","9484","CA","2017-06-01"
"Trail or Shared Use Path","0","11432","0","CA","2017-06-01"
"Major Collector","54651","5888","54651","CA","2017-07-01"
"Minor Arterial","18646","41580","18646","CA","2017-07-01"
"Principal Arterial - Other","10058","32240","10058","CA","2017-07-01"
"Principal Arterial - Other Freeways and Expressways","15408","5952","15408","CA","2017-07-01"
"Trail or Shared Use Path","3814","11896","3814","CA","2017-07-01"
"Major Collector","40317","5952","40317","CA","2017-08-01"
"Minor Arterial","27871","41643","27871","CA","2017-08-01"
"Principal Arterial - Other","9624","29756","9624","CA","2017-08-01"
"Principal Arterial - Other Freeways and Expressways","14476","5944","14476","CA","2017-08-01"
"Trail or Shared Use Path","42347","11888","42347","CA","2017-08-01"
"Major Collector","32843","5760","32843","CA","2017-09-01"
"Minor Arterial","29203","39996","29203","CA","2017-09-01"
"Principal Arterial - Other","9393","28632","9393","CA","2017-09-01"
"Principal Arterial - Other Freeways and Expressways","13190","5752","13190","CA","2017-09-01"
"Trail or Shared Use Path","29254","9868","29254","CA","2017-09-01"
"Major Collector","31123","5952","31123","CA","2017-10-01"
"Minor Arterial","27894","41416","27894","CA","2017-10-01"
"Principal Arterial - Other","8354","29728","8354","CA","2017-10-01"
"Principal Arterial - Other Freeways and Expressways","12309","5916","12309","CA","2017-10-01"
"Trail or Shared Use Path","18647","7704","18647","CA","2017-10-01"
"Major Collector","28205","5752","28205","CA","2017-11-01"
"Minor Arterial","25287","40184","25287","CA","2017-11-01"
"Principal Arterial - Other","7615","28728","7615","CA","2017-11-01"
"Principal Arterial - Other Freeways and Expressways","11567","5720","11567","CA","2017-11-01"
"Trail or Shared Use Path","30556","11180","30556","CA","2017-11-01"
"Major Collector","33642","5952","33642","CA","2017-12-01"
"Minor Arterial","21194","41664","21194","CA","2017-12-01"
"Principal Arterial - Other","6789","29760","6789","CA","2017-12-01"
"Principal Arterial - Other Freeways and Expressways","10958","5952","10958","CA","2017-12-01"
"Trail or Shared Use Path","27841","11904","27841","CA","2017-12-01"
"Major Collector","31636","5952","31636","CA","2018-01-01"
"Minor Arterial","27231","42911","27231","CA","2018-01-01"
"Principal Arterial - Other","7329","29632","7329","CA","2018-01-01"
"Principal Arterial - Other Freeways and Expressways","11489","5952","11489","CA","2018-01-01"
"Trail or Shared Use Path","31135","12794","31135","CA","2018-01-01"
"Major Collector","25409","5030","25409","CA","2018-02-01"
"Minor Arterial","29026","40440","29026","CA","2018-02-01"
"Principal Arterial - Other","11831","28630","11831","CA","2018-02-01"
"Principal Arterial - Other Freeways and Expressways","10476","5344","10476","CA","2018-02-01"
"Trail or Shared Use Path","29754","21226","29754","CA","2018-02-01"
"Major Collector","13429","4794","12800","CA","2018-03-01"
"Minor Arterial","24814","41236","23980","CA","2018-03-01"
"Principal Arterial - Other","27642","30212","26588","CA","2018-03-01"
"Principal Arterial - Other Freeways and Expressways","11107","5872","10548","CA","2018-03-01"
"Trail or Shared Use Path","28307","21023","27684","CA","2018-03-01"
"Major Collector","14210","4380","14210","CA","2018-04-01"
"Minor Arterial","26808","40319","26808","CA","2018-04-01"
"Principal Arterial - Other","32881","29889","32881","CA","2018-04-01"
"Principal Arterial - Other Freeways and Expressways","12193","5760","12193","CA","2018-04-01"
"Trail or Shared Use Path","39893","23040","39893","CA","2018-04-01"
"Major Collector","11060","4240","11060","CA","2018-05-01"
"Minor Arterial","27107","41664","27107","CA","2018-05-01"
"Principal Arterial - Other","30477","32736","30477","CA","2018-05-01"
"Principal Arterial - Other Freeways and Expressways","12953","5952","12953","CA","2018-05-01"
"Trail or Shared Use Path","37851","19592","37851","CA","2018-05-01"
"Major Collector","15885","4704","15885","CA","2018-06-01"
"Minor Arterial","29134","40320","29134","CA","2018-06-01"
"Principal Arterial - Other","34100","31680","34100","CA","2018-06-01"
"Principal Arterial - Other Freeways and Expressways","13622","5760","13622","CA","2018-06-01"
"Trail or Shared Use Path","44748","17280","44748","CA","2018-06-01"
