"count","state","yyyy","functional_classification"
"12","CO","2010","Trail or Shared Use Path"
"12","VA","2018","Major Collector"
"3","OR","2024","Minor Arterial"
"1","WA","2012","Major Collector"
"3","OR","2024","Local"
"12","MN","2016","Minor Arterial"
"12","CA","2017","Principal Arterial - Other Freeways and Expressways"
"12","MD","2023","Trail or Shared Use Path"
"12","WA","2019","Principal Arterial - Other"
"12","WA","2011","Principal Arterial - Other Freeways and Expressways"
"5","CO","2006","Principal Arterial - Other"
"6","CO","2015","Local"
"3","MN","2024","Trail or Shared Use Path"
"11","CO","2009","Trail or Shared Use Path"
"12","MN","2020","Trail or Shared Use Path"
"12","WA","2022","Principal Arterial - Other Freeways and Expressways"
"12","CO","2015","Principal Arterial - Other Freeways and Expressways"
"4","DC","2014","Minor Arterial"
"12","WA","2018","Principal Arterial - Other Freeways and Expressways"
"12","MD","2022","Trail or Shared Use Path"
"12","DC","2019","Major Collector"
"10","CO","2011","Trail or Shared Use Path"
"11","CO","2009","Principal Arterial - Other Freeways and Expressways"
"8","CO","2002","Trail or Shared Use Path"
"12","OR","2017","Trail or Shared Use Path"
"12","VA","2016","Trail or Shared Use Path"
"6","VA","2019","Interstate"
"6","CO","2005","Trail or Shared Use Path"
"12","MD","2017","Trail or Shared Use Path"
"12","CO","2023","Principal Arterial - Other"
"3","WA","2024","Minor Arterial"
"3","CO","2006","Major Collector"
"12","MD","2021","Trail or Shared Use Path"
"12","VA","2015","Minor Arterial"
"11","CA","2012","Minor Arterial"
"12","CA","2015","Principal Arterial - Other"
"12","DC","2021","Trail or Shared Use Path"
"6","OR","2016","Minor Collector"
"12","VA","2019","Minor Arterial"
"12","DC","2023","Minor Arterial"
"12","CO","2004","Principal Arterial - Other Freeways and Expressways"
"4","WA","2012","Principal Arterial - Other"
"12","OR","2018","Trail or Shared Use Path"
"12","CO","2008","Principal Arterial - Other"
"12","CO","2011","Principal Arterial - Other Freeways and Expressways"
"12","CA","2022","Minor Arterial"
"12","VA","2022","Principal Arterial - Other"
"12","CA","2016","Principal Arterial - Other"
"5","CO","2002","Principal Arterial - Other"
"12","VA","2017","Interstate"
"12","WA","2019","Trail or Shared Use Path"
"12","VA","2018","Trail or Shared Use Path"
"12","CO","2003","Principal Arterial - Other"
"12","CA","2014","Major Collector"
"9","VA","2014","Interstate"
"12","OR","2019","Trail or Shared Use Path"
"8","OR","2010","Trail or Shared Use Path"
"12","CA","2017","Principal Arterial - Other"
"12","VA","2013","Principal Arterial - Other"
"12","CA","2014","Interstate"
"12","VA","2021","Major Collector"
"12","MN","2017","Minor Arterial"
"12","CO","2022","Minor Collector"
"1","CO","1999","Major Collector"
"8","CA","2016","Interstate"
"12","CA","2020","Minor Arterial"
"12","DC","2020","Trail or Shared Use Path"
"3","CO","2023","Principal Arterial - Other Freeways and Expressways"
"11","CO","2013","Major Collector"
"11","CA","2012","Minor Collector"
"10","OR","2011","Minor Arterial"
"12","MN","2019","Minor Arterial"
"9","CO","2003","Trail or Shared Use Path"
"12","CA","2018","Principal Arterial - Other"
"3","CO","2000","Major Collector"
"7","MN","2014","Major Collector"
"4","CO","2002","Principal Arterial - Other Freeways and Expressways"
"12","VA","2012","Principal Arterial - Other"
"9","CA","2020","Major Collector"
"12","CO","2010","Principal Arterial - Other"
"12","DC","2020","Minor Arterial"
"12","VA","2015","Principal Arterial - Other"
"12","OR","2015","Minor Arterial"
"12","WA","2023","Trail or Shared Use Path"
"12","CA","2015","Minor Arterial"
"12","OR","2021","Principal Arterial - Other"
"12","CA","2019","Trail or Shared Use Path"
"12","OR","2014","Minor Collector"
"12","CO","2018","Local"
"3","CO","2001","Principal Arterial - Other"
"12","VA","2023","Principal Arterial - Other"
"12","CO","2021","Principal Arterial - Other Freeways and Expressways"
"6","CA","2023","Principal Arterial - Other"
"12","MN","2017","Trail or Shared Use Path"
"10","CO","2010","Major Collector"
"12","CA","2014","Minor Collector"
"12","CO","2014","Principal Arterial - Other Freeways and Expressways"
"12","CO","2013","Principal Arterial - Other Freeways and Expressways"
"12","OR","2023","Local"
"12","CA","2017","Minor Arterial"
"4","TX","2013","Trail or Shared Use Path"
"12","CO","2002","Major Collector"
"12","OR","2020","Trail or Shared Use Path"
"12","MN","2021","Minor Arterial"
"12","VA","2019","Principal Arterial - Other"
"1","WA","2012","Interstate"
"12","MD","2019","Trail or Shared Use Path"
"4","CO","2001","Principal Arterial - Other Freeways and Expressways"
"12","MN","2019","Major Collector"
"2","WA","2013","Local"
"12","CA","2015","Trail or Shared Use Path"
"12","WA","2016","Minor Collector"
"11","CA","2012","Major Collector"
"12","WA","2015","Major Collector"
"12","VA","2014","Major Collector"
"12","WA","2020","Trail or Shared Use Path"
"5","WA","2017","Local"
"5","CO","2014","Major Collector"
"12","CA","2016","Minor Collector"
"12","VA","2016","Interstate"
"12","WA","2013","Principal Arterial - Other"
"9","CO","2005","Principal Arterial - Other"
"12","OR","2022","Trail or Shared Use Path"
"12","WA","2021","Principal Arterial - Other Freeways and Expressways"
"12","CA","2013","Principal Arterial - Other"
"3","DC","2024","Trail or Shared Use Path"
"12","CO","2018","Principal Arterial - Other"
"12","CO","2021","Major Collector"
"12","CA","2016","Principal Arterial - Other Freeways and Expressways"
"12","CO","2017","Principal Arterial - Other Freeways and Expressways"
"12","VA","2016","Principal Arterial - Other"
"12","VA","2020","Interstate"
"12","CA","2014","Principal Arterial - Other"
"12","OR","2020","Local"
"12","OR","2015","Minor Collector"
"12","DC","2019","Minor Arterial"
"12","MD","2015","Trail or Shared Use Path"
"3","OR","2013","Interstate"
"12","CA","2021","Minor Arterial"
"12","CO","2022","Major Collector"
"12","DC","2016","Minor Arterial"
"12","CA","2017","Major Collector"
"12","CA","2015","Minor Collector"
"12","WA","2009","Trail or Shared Use Path"
"12","VA","2018","Minor Arterial"
"12","CO","2013","Principal Arterial - Other"
"12","DC","2015","Trail or Shared Use Path"
"12","WA","2016","Minor Arterial"
"6","OR","2012","Local"
"12","WA","2016","Principal Arterial - Other"
"5","CO","2006","Principal Arterial - Other Freeways and Expressways"
"12","CA","2020","Principal Arterial - Other"
"12","WA","2014","Major Collector"
"12","VA","2021","Minor Arterial"
"12","CO","2019","Minor Collector"
"12","VA","2019","Trail or Shared Use Path"
"12","CO","2018","Principal Arterial - Other Freeways and Expressways"
"12","MN","2018","Minor Arterial"
"10","OR","2013","Local"
"12","WA","2023","Interstate"
"12","WA","2014","Local"
"12","WA","2023","Minor Arterial"
"12","DC","2018","Minor Arterial"
"10","OR","2011","Local"
"12","WA","2017","Trail or Shared Use Path"
"2","VA","2022","Interstate"
"1","OR","2009","Minor Arterial"
"12","CA","2019","Principal Arterial - Other"
